freq=240.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 509029167, 0, -1348.004761, 1038.262573, 1191.716309, 1, 0, 0, 0, 5.08
M, 509033333, 0, -1342.927124, 1039.564087, 1190.659058, 1, 0, 0, 0, 5.02
M, 509037500, 0, -1337.600342, 1040.581055, 1189.510620, 1, 0, 0, 0, 5.23
M, 509041667, 0, -1332.315796, 1041.692871, 1188.281494, 1, 0, 0, 0, 5.22
M, 509045833, 0, -1327.116455, 1042.761475, 1187.025635, 1, 0, 0, 0, 5.21
M, 509050000, 0, -1322.189941, 1044.122314, 1185.688843, 1, 0, 0, 0, 5.07
M, 509054167, 0, -1316.647461, 1044.955811, 1184.482422, 1, 0, 0, 0, 5.19
M, 509058333, 0, -1311.498047, 1046.033325, 1183.200073, 1, 0, 0, 0, 5.18
M, 509062500, 0, -1306.369507, 1047.116699, 1181.838623, 1, 0, 0, 0, 5.18
M, 509066667, 0, -1301.503296, 1048.251831, 1180.438965, 1, 0, 0, 0, 5.04
M, 509070833, 0, -1297.095703, 1048.996826, 1178.988647, 1, 0, 0, 0, 4.44
M, 509075000, 0, -1292.509888, 1050.028931, 1177.432007, 1, 0, 0, 0, 4.43
M, 509079167, 0, -1287.548340, 1051.121460, 1175.976196, 1, 0, 0, 0, 4.43
M, 509083333, 0, -1282.533691, 1052.211670, 1174.499146, 1, 0, 0, 0, 4.43
M, 509087500, 0, -1277.404053, 1053.256958, 1172.964233, 1, 0, 0, 0, 4.27
M, 509091667, 0, -1272.399902, 1054.415283, 1171.507080, 1, 0, 0, 0, 4.42
M, 509095833, 0, -1267.391479, 1055.541504, 1169.961060, 1, 0, 0, 0, 4.41
M, 509100000, 0, -1262.363647, 1056.608643, 1168.368652, 1, 0, 0, 0, 4.41
M, 509104167, 0, -1257.423828, 1057.766846, 1166.700195, 1, 0, 0, 0, 4.26
M, 509108333, 0, -1252.201904, 1058.625488, 1165.141479, 1, 0, 0, 0, 4.40
M, 509112500, 0, -1246.826538, 1059.252441, 1163.909302, 1, 0, 0, 0, 4.47
M, 509116667, 0, -1242.271729, 1060.767334, 1161.890381, 1, 0, 0, 0, 4.47
M, 509120833, 0, -1237.728027, 1062.255371, 1159.957642, 1, 0, 0, 0, 4.26
M, 509125000, 0, -1232.678833, 1063.208740, 1158.091431, 1, 0, 0, 0, 4.46
M, 509129167, 0, -1227.571533, 1064.274902, 1155.946289, 1, 0, 0, 0, 5.30
M, 509133333, 0, -1222.703735, 1065.434082, 1154.059937, 1, 0, 0, 0, 4.78
M, 509137500, 0, -1217.959595, 1066.682983, 1152.102295, 1, 0, 0, 0, 4.60
M, 509141667, 0, -1212.853882, 1067.799438, 1149.977295, 1, 0, 0, 0, 4.77
M, 509145833, 0, -1207.755371, 1068.861450, 1148.009155, 1, 0, 0, 0, 4.56
M, 509150000, 0, -1202.813599, 1070.043091, 1145.907104, 1, 0, 0, 0, 4.55
M, 509154167, 0, -1197.863037, 1071.237305, 1143.814331, 1, 0, 0, 0, 4.55
M, 509158333, 0, -1192.914917, 1072.410034, 1141.632202, 1, 0, 0, 0, 4.40
M, 509162500, 0, -1187.538940, 1073.234985, 1139.794434, 1, 0, 0, 0, 4.76
M, 509166667, 0, -1183.016113, 1074.875366, 1137.329468, 1, 0, 0, 0, 4.54
M, 509170833, 0, -1178.183228, 1076.080200, 1135.032227, 1, 0, 0, 0, 4.75
M, 509175000, 0, -1173.204468, 1077.298828, 1132.757446, 1, 0, 0, 0, 4.39
M, 509179167, 0, -1168.669922, 1078.490845, 1130.582275, 1, 0, 0, 0, 3.63
M, 509183333, 0, -1164.171875, 1079.832520, 1128.428589, 1, 0, 0, 0, 5.43
M, 509187500, 0, -1159.587036, 1081.074341, 1126.174805, 1, 0, 0, 0, 5.42
M, 509191667, 0, -1155.059692, 1082.603149, 1123.757813, 1, 0, 0, 0, 5.19
M, 509195833, 0, -1149.988647, 1083.658447, 1121.445557, 1, 0, 0, 0, 5.41
M, 509200000, 0, -1144.577881, 1085.170654, 1118.752930, 1, 0, 0, 0, 4.50
M, 509204167, 0, -1139.850952, 1086.475342, 1116.278320, 1, 0, 0, 0, 3.88
M, 509208333, 0, -1135.187500, 1087.930786, 1113.832886, 1, 0, 0, 0, 3.76
M, 509212500, 0, -1131.027954, 1089.334717, 1111.898315, 1, 0, 0, 0, 3.62
M, 509216667, 0, -1126.875000, 1090.733643, 1109.645386, 1, 0, 0, 0, 3.62
M, 509220833, 0, -1122.271484, 1092.064575, 1107.102173, 1, 0, 0, 0, 3.42
M, 509225000, 0, -1117.838745, 1093.352783, 1104.756104, 1, 0, 0, 0, 3.27
M, 509229167, 0, -1113.120850, 1094.599487, 1102.192993, 1, 0, 0, 0, 3.19
M, 509233333, 0, -1108.410400, 1095.925537, 1099.553101, 1, 0, 0, 0, 3.27
M, 509237500, 0, -1103.508423, 1097.252686, 1096.723633, 1, 0, 0, 0, 3.42
M, 509241667, 0, -1098.871460, 1098.503784, 1094.130127, 1, 0, 0, 0, 3.27
M, 509245833, 0, -1094.229492, 1099.918823, 1091.350708, 1, 0, 0, 0, 3.19
M, 509250000, 0, -1089.557617, 1101.122559, 1088.600464, 1, 0, 0, 0, 3.26
M, 509254167, 0, -1085.381348, 1102.227295, 1085.875610, 1, 0, 0, 0, 3.10
M, 509258333, 0, -1080.624146, 1103.545044, 1083.056885, 1, 0, 0, 0, 3.10
M, 509262500, 0, -1076.161621, 1105.117310, 1080.149292, 1, 0, 0, 0, 3.19
M, 509266667, 0, -1070.830688, 1106.199097, 1077.273315, 1, 0, 0, 0, 3.60
M, 509270833, 0, -1065.763550, 1107.376587, 1074.731934, 1, 0, 0, 0, 3.32
M, 509275000, 0, -1060.878662, 1108.637451, 1071.815796, 1, 0, 0, 0, 3.22
M, 509279167, 0, -1056.483643, 1110.082764, 1069.005493, 1, 0, 0, 0, 3.19
M, 509283333, 0, -1052.419556, 1111.034424, 1066.251953, 1, 0, 0, 0, 3.08
M, 509287500, 0, -1048.064209, 1112.549927, 1063.104370, 1, 0, 0, 0, 3.09
